rater	vehicleID	vehicleStatus	driverSex	driverAge	traffic	cutoff	intersection	date	time	note	interID	interType	city	zip	county
bt	bt12	2	f	1	1	no	Scholars Dr North & North Point Dr	10/11/13	17:03:00		i37	3-way	San Diego	92093	SD
bt	bt13	1	m	1	2	no	Scholars Dr North & North Point Dr	10/11/13	17:05:00		i37	3-way	San Diego	92093	SD
bt	bt14	5	m	1	1	no	Scholars Dr North & North Point Dr	10/11/13	17:06:00		i37	3-way	San Diego	92093	SD
bt	bt15	3	m	2	2	no	Scholars Dr North & North Point Dr	10/11/13	17:07:00		i37	3-way	San Diego	92093	SD
bt	bt16	4	m	2	1	no	Scholars Dr North & North Point Dr	10/11/13	17:09:00		i37	3-way	San Diego	92093	SD
bt	bt17	2	m	2	1	no	Scholars Dr North & North Point Dr	10/11/13	17:10:00		i37	3-way	San Diego	92093	SD
bt	bt18	1	m	2	3	yes	Scholars Dr North & North Point Dr	10/11/13	17:11:00		i37	3-way	San Diego	92093	SD
bt	bt19	3	f	1	3	yes	Scholars Dr North & North Point Dr	10/11/13	17:11:00		i37	3-way	San Diego	92093	SD
bt	bt20	5	f	2	1	no	Scholars Dr North & North Point Dr	10/11/13	17:14:00		i37	3-way	San Diego	92093	SD
bt	bt21	3	f	2	1	yes	Thurgood Marshall Ln & Scholars Dr North	10/11/13	17:25:00		i40	4-way	San Diego	92093	SD
cc	cc01	2	m	2	2	no	Costa Verde Blvd & Plaza de Palmas	10/9/13	19:32:00		i14	4-way	San Diego	92122	SD
cc	cc02	3	m	1	2	no	Costa Verde Blvd & Plaza de Palmas	10/9/13	19:34:00		i14	4-way	San Diego	92122	SD
cc	cc03	3	f	1	1	no	Costa Verde Blvd & Plaza de Palmas	10/9/13	19:36:00		i14	4-way	San Diego	92122	SD
cc	cc04	5	m	2	1	no	Costa Verde Blvd & Plaza de Palmas	10/9/13	19:37:00		i14	4-way	San Diego	92122	SD
cc	cc05	4	m	1	4	no	Costa Verde Blvd & Plaza de Palmas	10/9/13	19:41:00		i14	4-way	San Diego	92122	SD
cc	cc06	4	m	2	3	no	Costa Verde Blvd & Plaza de Palmas	10/9/13	19:48:00		i14	4-way	San Diego	92122	SD
cc	cc07	2	f	1	2	no	Costa Verde Blvd & Plaza de Palmas	10/9/13	19:51:00		i14	4-way	San Diego	92122	SD
cc	cc08	4	m	1	2	no	Costa Verde Blvd & Plaza de Palmas	10/9/13	19:54:00		i14	4-way	San Diego	92122	SD
cc	cc09	1	m	1	2	yes	Costa Verde Blvd & Plaza de Palmas	10/9/13	19:56:00		i14	4-way	San Diego	92122	SD
cc	cc10	2	m	1	3	yes	Costa Verde Blvd & Plaza de Palmas	10/9/13	20:00:00		i14	4-way	San Diego	92122	SD
cc	cc11	5	m	1	3	no	Costa Verde Blvd & Plaza de Palmas	10/9/13	20:04:00		i14	4-way	San Diego	92122	SD
cc	cc12	5	f	1	3	no	Costa Verde Blvd & Plaza de Palmas	10/9/13	20:04:00		i14	4-way	San Diego	92122	SD
cc	cc13	4	f	2	1	no	Costa Verde Blvd & Plaza de Palmas	10/9/13	17:50:00		i14	4-way	San Diego	92122	SD
cc	cc14	3	m	1	1	yes	Trentino Dr. & Sorrento Dr.	10/12/13	17:54:00		i41	4-way	Cypress	90630	orange
cc	cc15	3	m	2	1	no	Trentino Dr. & Sorrento Dr.	10/12/13	17:55:00		i41	4-way	Cypress	90630	orange
cc	cc16	5	m	1	1	yes	Trentino Dr. & Sorrento Dr.	10/12/13	18:15:00		i41	4-way	Cypress	90630	orange
cc	cc17	5	f	2	1	no	Trentino Dr. & Sorrento Dr.	10/12/13	18:16:00		i41	4-way	Cypress	90630	orange
cc	cc18	2	f	2	1	no	Trentino Dr. & Sorrento Dr.	10/12/13	18:18:00		i41	4-way	Cypress	90630	orange
cc	cc19	1	m	1	1	no	Trentino Dr. & Sorrento Dr.	10/12/13	18:30:00		i41	4-way	Cypress	90630	orange
cc	cc20	1	f	1	1	no	Trentino Dr. & Sorrento Dr.	10/12/13	18:32:00		i41	4-way	Cypress	90630	orange
cc	cc21	4	m	1	1	no	Trentino Dr. & Sorrento Dr.	10/12/13	18:40:00		i41	4-way	Cypress	90630	orange
cc	cc22	1	f	1	1	no	Trentino Dr. & Sorrento Dr.	10/13/13	14:33:00		i41	4-way	Cypress	90630	orange
cc	cc23	5	f	2	1	no	Trentino Dr. & Sorrento Dr.	10/13/13	14:45:00		i41	4-way	Cypress	90630	orange
cc	cc24	3	f	2	1	no	Trentino Dr. & Sorrento Dr.	10/13/13	14:47:00		i41	4-way	Cypress	90630	orange
cvt	cvt01	4	M	2	3	no	Stowers Ave & Beach St	10/11/13	14:32:00		i39	4-way	Cerritos	90703	LA
cvt	cvt02	2	F	2	3	no	Stowers Ave & Beach St	10/11/13	14:33:00		i39	4-way	Cerritos	90703	LA
cvt	cvt03	1	M	3	3	yes	Stowers Ave & Beach St	10/11/13	14:33:00		i39	4-way	Cerritos	90703	LA
cvt	cvt04	3	M	2	2	no	Stowers Ave & Beach St	10/11/13	14:34:00	intersection is right next to an elementary school so there were a lot of kids crossing the street around this time	i39	4-way	Cerritos	90703	LA
cvt	cvt05	2	F	2	3	yes	Stowers Ave & Beach St	10/11/13	14:35:00		i39	4-way	Cerritos	90703	LA
cvt	cvt06	1	F	1	2	no	Stowers Ave & Beach St	10/11/13	14:35:00		i39	4-way	Cerritos	90703	LA
cvt	cvt07	5	F	3	2	no	Stowers Ave & Beach St	10/11/13	14:37:00		i39	4-way	Cerritos	90703	LA
cvt	cvt08	3	M	2	3	no	Stowers Ave & Beach St	10/11/13	14:39:00		i39	4-way	Cerritos	90703	LA
cvt	cvt09	4	M	3	2	no	Stowers Ave & Beach St	10/11/13	14:39:00		i39	4-way	Cerritos	90703	LA
cvt	cvt10	5	F	1	1	yes	Stowers Ave & Beach St	10/11/13	14:40:00		i39	4-way	Cerritos	90703	LA
cvt	cvt11	3	M	1	3	no	Cerritos Mall	10/11/13	16:12:00	"Sorry, there were no signs indicating cross streets at the mall parking lot."	i12	4-way	Cerritos	90703	LA
cvt	cvt12	3	F	1	4	no	Cerritos Mall	10/11/13	16:13:00	"JKB: according to Clara, this is a 4-way stop with 6 spots for stopping"	i12	4-way	Cerritos	90703	LA
cvt	cvt13	2	F	2	4	yes	Cerritos Mall	10/11/13	16:16:00		i12	4-way	Cerritos	90703	LA
cvt	cvt14	2	M	2	4	no	Cerritos Mall	10/11/13	16:16:00		i12	4-way	Cerritos	90703	LA
cvt	cvt15	4	M	1	3	no	Cerritos Mall	10/11/13	16:18:00		i12	4-way	Cerritos	90703	LA
cvt	cvt16	1	F	3	3	no	Cerritos Mall	10/11/13	16:21:00		i12	4-way	Cerritos	90703	LA
cvt	cvt17	4	M	1	2	yes	Cerritos Mall	10/11/13	16:22:00		i12	4-way	Cerritos	90703	LA
cvt	cvt18	3	F	2	3	no	Cerritos Mall	10/11/13	16:27:00		i12	4-way	Cerritos	90703	LA
cvt	cvt19	5	F	1	4	yes	Cerritos Mall	10/11/13	16:28:00		i12	4-way	Cerritos	90703	LA
cvt	cvt20	3	F	1	4	no	Cerritos Mall	10/11/13	16:31:00		i12	4-way	Cerritos	90703	LA
dqn	dqn01	3	m	1	4	no	Costa Verde Blvd. &Plaza de Palmas	10/11/13	18:03:00		i14	4-way	San Diego	92122	SD
dqn	dqn02	3	f	1	5	no	Costa Verde Blvd. &Plaza de Palmas	10/11/13	18:15:00		i14	4-way	San Diego	92122	SD
dqn	dqn03	2	f	1	3	no	Costa Verde Blvd. &Plaza de Palmas	10/11/13	18:22:00		i14	4-way	San Diego	92122	SD
dqn	dqn04	4	f	2	3	yes	Costa Verde Blvd. &Plaza de Palmas	10/11/13	18:29:00		i14	4-way	San Diego	92122	SD
dqn	dqn05	5	m	2	2	no	Costa Verde Blvd. &Plaza de Palmas	10/11/13	18:40:00		i14	4-way	San Diego	92122	SD
dqn	dqn06	5	m	1	2	no	Costa Verde Blvd. &Plaza de Palmas	10/11/13	18:47:00		i14	4-way	San Diego	92122	SD
dqn	dqn07	2	f	3	1	no	Costa Verde Blvd. &Plaza de Palmas	10/11/13	19:01:00		i14	4-way	San Diego	92122	SD
dqn	dqn08	4	m	3	3	no	Costa Verde Blvd. &Plaza de Palmas	10/11/13	19:10:00		i14	4-way	San Diego	92122	SD
dqn	dqn09	3	m	1	2	no	Costa Verde Blvd. &Plaza de Palmas	10/11/13	19:19:00		i14	4-way	San Diego	92122	SD
dqn	dqn10	4	m	1	4	yes	Costa Verde Blvd. &Plaza de Palmas	10/11/13	19:27:00		i14	4-way	San Diego	92122	SD
dqn	dqn11	3	m	2	2	yes	Lampson Ave.& Gilbert St.	10/12/13	15:50:00		i21	4-way	Garden Grove	92841	orange
dqn	dqn12	1	m	2	3	no	Lampson Ave.& Gilbert St.	10/12/13	15:55:00		i21	4-way	Garden Grove	92841	orange
dqn	dqn13	3	m	1	1	no	Lampson Ave.& Gilbert St.	10/12/13	16:00:00		i21	4-way	Garden Grove	92841	orange
dqn	dqn14	3	f	2	2	no	Lampson Ave.& Gilbert St.	10/12/13	16:10:00		i21	4-way	Garden Grove	92841	orange
dqn	dqn15	2	m	1	2	no	Lampson Ave.& Gilbert St.	10/12/13	16:25:00		i21	4-way	Garden Grove	92841	orange
dqn	dqn16	4	f	3	1	yes	Lampson Ave.& Gilbert St.	10/12/13	16:32:00		i21	4-way	Garden Grove	92841	orange
dqn	dqn17	2	f	1	3	no	Lampson Ave.& Gilbert St.	10/12/13	16:45:00		i21	4-way	Garden Grove	92841	orange
dqn	dqn18	1	m	2	1	no	Lampson Ave.& Gilbert St.	10/12/13	16:57:00		i21	4-way	Garden Grove	92841	orange
